id,regdate,first_name,last_name,email_address,homephone,street,city,state,zipcode
19,11/23/08 20:44,Amanda,Hartzell,nqm17@jumpstartlab.com,(607)280-2000,3515 school st,Valois,NY,14841
37,12/5/08 0:01,Matthew,Stitt,idnjamin_mandel@jumpstartlab.com,(845)853-2000,21 fruitbud dr.,Red hook,NY,12571
59,12/8/08 9:38,Ashley morgan,Martino,umhasse@jumpstartlab.com,(631)656-6000,15 mike ln,Smithtown,NY,11787
79,12/8/08 20:49,James,Paglierani,gif32@jumpstartlab.com,(626)336-5000,402 basetdale ave,Holtsville,NY,00501
83,12/8/08 20:56,Jordan,Grunow,svperry3@jumpstartlab.com,(631)513-8000,"box 3771, 10 macvittie circle",Geneseo,NY,14454
108,12/8/08 21:38,Tannis ruth,Klimas,mwliemar@jumpstartlab.com,(914)860-5000,"mailbox 0668  , 735 anderson hill road",Purchase,NY,10577
118,12/10/08 21:41,Katherine,Kemp,yuthatcher@jumpstartlab.com,(315)272-7000,102 wells drive,Deerfield,NY,13502
121,12/11/08 0:16,Marysa,Dillie,jearrjones@jumpstartlab.com,(315)767-0000,30 1/2 n.main st.,Carthage,NY,13619
127,12/11/08 12:49,Emma,Landry,sdmothydht@jumpstartlab.com,(716)983-0000,76 robert street,Hamburg,NY,14075
128,12/11/08 13:45,Robin,Doe,ij340406@jumpstartlab.com,(585)315-6000,72 little briggins cr.,Fairport,NY,14450
129,12/11/08 13:50,Patrick,Mufson,jmh17@jumpstartlab.com,(585)315-6000,31 elizabeth st.,Dansville,NY,14437
133,12/11/08 21:25,Katherine,Benjamin,oarnandl@jumpstartlab.com,(315)391-4000,1505 owahgena terrace,Cazenovia,NY,13035
138,12/12/08 12:08,Heidi,Fox,pbutzcr@jumpstartlab.com,(716)485-3000,286 bragg rd,Frewsburg,NY,14738
143,12/12/08 14:24,Andrew,Nace,oposema1@jumpstartlab.com,(716)359-1000,2941 west blood rd.,East aurora,NY,14052
151,12/14/08 16:50,Autumn,Mccullough,xlthurkr222@jumpstartlab.com,(212)751-3000,59 grand street,Brooklyn,NY,11211
154,12/15/08 0:01,Ashton,Zhu,uhana.urbach@jumpstartlab.com,(315)420-7000,3435 ransom rd.,Jamesville,NY,13078
157,12/15/08 14:06,Anjali,Hai,swcohen@jumpstartlab.com,(607)262-0000,510 e. seneca st. apt 1a,Ithaca,NY,14850
163,12/15/08 22:27,Abdulwahab,Detweiler,ejlintof@jumpstartlab.com,(315)771-9000,127 park ave,Watertown,NY,13601
164,12/15/08 23:08,Dannielle,Nance,mwlarycoleen@jumpstartlab.com,(607)266-0000,409 hanshaw rd.,Ithaca,NY,14850
194,12/16/08 14:28,Chenchen,Peng,lfeng@jumpstartlab.com,(585)415-4000,116 w. clinton st. apt. d,Ithaca,NY,14850
204,12/17/08 13:21,Shiquita,Schafer,puacmill@jumpstartlab.com,(315)481-1000,714 state fair blvd,Syracuse,NY,13209
223,12/17/08 15:46,Hila,Haber,vhh10@jumpstartlab.com,(646)831-5000,88 bleecker st,New york,NY,10012
224,12/17/08 15:49,Jonathan,York,qirater1@jumpstartlab.com,(000)000-0000,170 joralemon st.,Brooklyn,NY,11201
225,12/17/08 15:54,X,Spelke,cxacconn@jumpstartlab.com,(000)000-0000,15 howard pl.,Brooklyn,NY,11215
226,12/17/08 15:58,Katherine,Atkatsh,jbll44@jumpstartlab.com,(000)000-0000,621 east 19th st.,Brooklyn,NY,11230
227,12/17/08 16:02,Five,Sady,ioerecirclesbgin@jumpstartlab.com,(000)000-0000,270 henry st,Brooklyn,NY,11201
228,12/17/08 16:05,Diane,Boggess,rjlissa.cameron@jumpstartlab.com,(000)000-0000,244 baltic st.,Brooklyn,NY,11201
229,12/17/08 16:09,Mari,Whipple,ayo@jumpstartlab.com,(000)000-0000,75 livingston st. # 22a,Brooklyn,NY,11201
230,12/17/08 16:12,Adam,Cannon,vyul0512@jumpstartlab.com,(000)000-0000,170 joralemon st,Brooklyn,NY,11201
232,12/17/08 16:16,Megan,Lansdale,bwndy_costa@jumpstartlab.com,(000)000-0000,365 degraw st.,Brooklyn,NY,11231
233,12/17/08 16:20,Johanna,Bower,otke-soccer@jumpstartlab.com,(000)000-0000,705 driggs av. # 12,Brooklyn,NY,11211
235,12/17/08 17:49,Erin,Siegel,sdkelly@jumpstartlab.com,(585)261-0000,1296 courtney drive,Victor,NY,14564
236,12/17/08 17:55,Page,Rubin,qmmorrone@jumpstartlab.com,(585)747-5000,11 seward street,Dansville,NY,14437
240,12/17/08 23:20,Josh,Singer,qhd1@jumpstartlab.com,(607)280-6000,201 maple avenue apt. a9a,Ithaca,NY,14850
241,12/18/08 1:10,Eric,Matos,aindereli@jumpstartlab.com,(917)385-8000,6449 ellwell cres,Rego park,NY,11374
244,12/18/08 9:16,Andrew,Sagastegui,yyoud.drake@jumpstartlab.com,(000)000-0000,170 main street,Aurora,NY,13026
